Line,id,Column,Row,Grid,Flowering_time,Plant_height,Leaf_area,Violaxanthin,Lutein,Betacarotene,Alphatocopherol,Total_carotenoids,log.Leaf_area,log.Alphatocopherol
F2,103,1,35,1,36,103,30.323,11.27007384,37.95313812,81.22206627,62.34066999,130.4452782,3.4119065,4.132614022
F2,111,1,26,2,-,-,-,-,-,-,-,-,-,-
F2,88,3,4,6,38,98,15.885,3.628722881,25.70311263,56.54413339,30.14783739,85.8759689,2.765375268,3.406113192
F2,209,3,2,6,38,108,40.748,10.21593792,23.29277607,65.90119331,29.77735782,99.4099073,3.707406759,3.3937483
F2,64,3,1,6,42,151,57.535,8.450187167,20.13601696,49.3661027,42.4230896,77.95230683,4.052393458,3.74769278
F2,31,4,1,12,40,185,53.2,9.117629777,28.31991424,61.83167941,31.64920699,99.26922343,3.974058396,3.454713093
F2,168,4,2,12,48,182,57.819,8.328789778,27.98563579,53.52321129,41.6653344,89.83763686,4.057317441,3.729669474
F2,126,4,3,12,38,141,56.564,7.352955317,24.04527975,47.2816089,121.4870575,78.67984397,4.03537274,4.799807734
F2,191,4,4,12,48,112,27.706,5.194788217,18.30638645,37.40885758,10.82687223,60.91003225,3.321648996,2.382031213
F2,197,4,5,12,36,143,27.203,5.894753029,24.0827727,56.45526364,58.59902227,86.43278937,3.303327261,4.070718012
F2,206,4,6,12,42,141,34.164,4.725008127,23.53529453,58.73034945,35.48041888,86.99065211,3.531172458,3.568980963
F2,43,4,7,11,42,112,39.972,5.038767815,27.53460492,61.97976687,15.78419217,94.55313961,3.688179209,2.759008944
F2,65,1,25,2,32,136,42.783,6.919967698,32.17461945,74.45235422,45.93925756,113.5469414,3.756140827,3.827320036
F2,95,4,8,11,31,129,26.577,4.617477246,26.47569228,61.5811618,27.83423581,92.67433133,3.28004618,3.326266767
F2,30,4,9,11,38,131,35.99,6.360798891,27.78269658,68.76989038,54.72820908,102.9133859,3.583241122,4.002379282
F2,60,4,10,11,32,126,-,5.698416206,31.53627672,73.12423066,20.12502162,110.3589236,-,3.001963898
F2,182,4,11,11,31,102,38.574,3.975817763,27.4696642,59.9340972,13.15422597,91.37957916,3.652578474,2.576743074
F2,193,4,12,11,28,98,16.704,5.816482634,32.76313312,73.78596627,74.82787358,112.365582,2.815648212,4.315190457
F2,199,4,13,10,32,89,15.86,4.916486476,21.98922814,56.78364827,23.67859548,83.68936289,2.763800216,3.164571496
F2,120,4,14,10,26,123,49.596,5.494954023,19.84907126,45.24521794,25.64642389,70.58924322,3.903910185,3.244404142
F2,72,4,15,10,38,98,19.905,9.299106418,26.88643636,50.39969877,22.90360992,86.58524155,2.990970956,3.131294537
F2,36,4,16,10,34,85,29.589,7.587819656,22.775646,50.61409686,92.16428691,80.97756252,3.387402671,4.523572712
F2,29,4,17,10,35,104,13.201,7.595348817,19.90753373,45.84007589,50.16866994,73.34295844,2.580292584,3.915390727
F2,82,1,24,3,34,100,47.494,6.233882852,20.04595951,45.44670343,49.05181391,71.72654579,3.860603387,3.892877166
F2,172,4,18,10,36,179,72.441,8.335511929,20.26227992,42.22976799,35.10550819,70.82755984,4.282772437,3.558358047
F2,203,4,20,9,40,120,-,6.789151666,22.69439241,48.44434797,34.81894222,77.92789205,-,3.550161555
F2,171,4,22,9,52,136,88.817,5.187305369,18.36045037,49.32628669,54.38676497,72.87404243,4.486578073,3.996120833
F2,42,4,23,9,37,128,44.068,8.976831611,26.04753095,65.09865204,64.9697295,100.1230146,3.785733895,4.173921461
F2,211,4,24,9,32,135,19.972,11.61238675,26.07179108,63.80986804,48.68004616,101.4940459,2.994331293,3.885269216
F2,175,4,25,8,30,129,42.964,5.541217101,22.69106804,53.56060057,88.3455408,81.79288571,3.760362556,4.481255726
