Line,ID,Column,Row,Grid,meanLength,meanWidth,meanLeng6,meanVD_in_um.mm2,flowering.time,plant.height..cm.,leaf.weight,leaf_area..cm².,Violaxanthin..ug.g.,Lutein..ug.g.,Betacarotene..ug.g.,Alphatocopherol..ug.g.,Total_carotenoids..ug.g.,noout.meanLength,noout.meanWidth,noout.meanVD_in_um.mm2,noout.flowering.time,noout.plant.height..cm.,noout.leaf.weight,noout.leaf_area,noout.Alphatocopherol..ug.g.,sqrt.noout.meanVD_in_um.mm2,cbrt.flowering.time,sqaure.plant.height..cm.,logPls1.leaf.weight,sqrt.leaf.area,log.Alphatocopherol..ug.g.
F2,1,1,36,1,51.44908333,127.2533889,333.4238333,6514.22453,39,60,2.3,92.36666667,15.14281964,48.95245965,101.3469833,6.931189703,165.4422626,51.44908333,127.2533889,6514.22453,39,60,2.3,,6.931189703,80.71074606,3.391211443,3600,1.193922468,9.610757861,1.936031473
F2,2,1,35,1,43.41919445,136.6932667,261.1703333,6663.021849,50,20,0.7,28.26666667,16.22975359,35.37401942,84.35178355,18.74801939,135.9555566,43.41919445,136.6932667,6663.021849,50,20,0.7,28.26666667,18.74801939,81.62733518,3.684031499,400,0.530628251,5.316640544,2.931088114
F2,3,1,34,1,47.97533333,115.5094167,273.8105,6444.67878,37,60,0.7,26.96666667,14.46345992,45.97110527,89.67265848,8.922231402,150.1072237,47.97533333,115.5094167,6444.67878,37,60,0.7,26.96666667,8.922231402,80.27875672,3.332221852,3600,0.530628251,5.192943931,2.188546072
F2,4,1,33,1,29.06619445,89.22433333,188.7698333,8748.228423,39,53,1.3,45.3,14.27636473,38.47210721,90.20294218,10.83991528,142.9514141,29.06619445,89.22433333,8748.228423,39,53,1.3,45.3,10.83991528,93.53196471,3.391211443,2809,0.832909123,6.730527468,2.38323518
F2,5,1,31,1,44.75566667,116.1668889,209.835,6384.5663,37,57,1.3,42.23333333,16.05822367,41.45673719,88.30806673,6.381787328,145.8230276,44.75566667,116.1668889,6384.5663,37,57,1.3,42.23333333,6.381787328,79.90348115,3.332221852,3249,0.832909123,6.498717822,1.853448204
F2,6,1,30,1,33.97927778,106.6704445,188.2488333,8511.291369,,,,,13.56878647,33.41274167,71.51622345,13.5919931,118.4977516,33.97927778,106.6704445,8511.291369,,,,,13.5919931,92.2566603,,,,,2.609480877
F2,7,1,29,2,37.95555556,116.5618611,209.7261667,8291.358424,37,48,0.3,14.36666667,15.42614908,32.47612059,77.1765997,8.234162499,125.0788694,37.95555556,116.5618611,8291.358424,37,48,0.3,14.36666667,8.234162499,91.05689663,3.332221852,2304,0.262364264,3.790338596,2.108291658
F2,8,1,28,2,49.10358334,135.9654722,306.5176667,5847.86935,44,44,1,26.7,10.86673953,22.96337706,54.28959991,24.06141794,88.1197165,49.10358334,135.9654722,5847.86935,44,44,1,26.7,24.06141794,76.47136294,3.530348335,1936,0.693147181,5.167204273,3.180609642
F2,9,1,27,2,39.24383333,115.7819167,205.7243333,7183.062946,40,45,1.3,40.9,12.61847326,32.81452282,67.19214716,5.389050271,112.6251432,39.24383333,115.7819167,7183.062946,40,45,1.3,40.9,5.389050271,84.75295243,3.419951893,2025,0.832909123,6.395310782,1.684369167
F2,10,1,26,2,46.49794445,120.8338889,275.1956667,6311.810513,42,54,0.3,35.7,11.51760337,24.9105668,63.29843522,20.6116145,99.72660538,46.49794445,120.8338889,6311.810513,42,54,0.3,35.7,20.6116145,79.44690373,3.476026645,2916,0.262364264,5.974947699,3.025854728
